"A","B","C","D","E"
2.7241215493588877e-01,3.9839645025058479e-01,0.0000000000000000e+00,4.6833303481267780e-01,2.7883932872867301e-01
3.0410045447342515e-01,4.3110667662403346e-01,0.0000000000000000e+00,2.0930768474552111e-01,5.6651163242044533e-01
1.9191600972173484e-01,1.2843480179871244e-01,0.0000000000000000e+00,3.0212757796092582e-01,2.6756026659769705e-01
2.5937084745349687e-01,1.9929234029313442e-01,0.0000000000000000e+00,3.5030507633579588e-01,4.1332542546544060e-01
1.0151153471057956e-02,2.4245209869272050e-01,0.0000000000000000e+00,3.8882022794456483e-01,5.9408866793526860e-02
5.3812256163340788e-02,2.6379874513741342e-01,0.0000000000000000e+00,1.9073827288155618e-01,4.7761271999150701e-01
2.6920349282685535e-01,2.8342476865837331e-02,0.0000000000000000e+00,3.5022235437150140e-01,7.7301384425101616e-01
1.5892927745355342e-01,1.3213327570604239e-01,0.0000000000000000e+00,1.2417616501075325e-01,7.3145076884679150e-01
4.3780397136752719e-01,2.9094100263708872e-01,0.0000000000000000e+00,7.6218788648284297e-02,6.7874984191822652e-01
3.3030090508710884e-02,4.1357076496518791e-01,0.0000000000000000e+00,3.2385788769963086e-01,2.6906256520563110e-01
1.2505179908388307e-03,3.9569907565064538e-02,0.0000000000000000e+00,2.3072835250680498e-01,4.2708011916440425e-01
3.2239624833142905e-01,3.2940642357986905e-01,0.0000000000000000e+00,2.2814915068559000e-01,1.4641616749240827e-01
3.0323541889439889e-02,2.2689563355110304e-01,0.0000000000000000e+00,8.1462216465374188e-02,8.5546957886230968e-01
2.9578358759087586e-01,1.3104686580221950e-01,0.0000000000000000e+00,1.2322069740345727e-02,8.0964477367856635e-01
3.9671053793029470e-01,3.0047607056947617e-01,0.0000000000000000e+00,3.2893901452713126e-01,1.3540853956829801e-02
2.7800381808257352e-01,2.2022823057986435e-01,0.0000000000000000e+00,2.6212963650887761e-01,5.8951805125215606e-01
3.0688283460699028e-01,8.1060861566463142e-03,0.0000000000000000e+00,1.6166752910365237e-01,1.2657262690894022e-01
4.1518566229633691e-01,1.4932544305508469e-01,0.0000000000000000e+00,3.1734252313485894e-01,1.4298104299934344e-01
3.9031693241378657e-01,4.2443591621194887e-01,0.0000000000000000e+00,6.0649151047087450e-02,5.5385645230007041e-01
4.7983223559546984e-01,1.0274840804052460e-02,0.0000000000000000e+00,2.2091907936971802e-01,7.5063329603443640e-01
2.9755431881613553e-01,9.9428335636883650e-03,0.0000000000000000e+00,4.7220335834910449e-01,4.4136917132674602e-01
1.4761611182973092e-01,3.1470101056681621e-01,0.0000000000000000e+00,4.7618508839391238e-01,5.1006604547160439e-02
1.1605431475025295e-01,4.3747260191589793e-01,0.0000000000000000e+00,1.5638750896552872e-01,2.0674577435053387e-01
1.4635459266291309e-01,4.2271365823082087e-02,0.0000000000000000e+00,5.9674828277359981e-02,6.9588107561315060e-01
3.1659136068495609e-02,3.8147580371339884e-01,0.0000000000000000e+00,2.9124452316816607e-01,6.4427653487292713e-01
2.0791157933459953e-01,2.2529307559364783e-01,0.0000000000000000e+00,2.0331917335123455e-02,6.2573138089087665e-01
2.0462683636491963e-01,1.3899320323606951e-01,0.0000000000000000e+00,4.5257320558583292e-01,8.4013837508661093e-01
1.4752037740101628e-01,3.2460173817903426e-01,0.0000000000000000e+00,1.6343118493746395e-01,2.0996396602171896e-01
3.0308695861680712e-01,3.9401820814382982e-01,0.0000000000000000e+00,3.5268747688577312e-01,1.7790828355111010e-01
4.1783870889593933e-01,3.3620071745557439e-01,0.0000000000000000e+00,2.1746470684693478e-01,3.6955734920932826e-01
4.1181478749023120e-01,4.2348450146982436e-01,0.0000000000000000e+00,2.0575575852936581e-01,2.8641504471719137e-01
2.7304150403954253e-01,2.7224501432630088e-01,0.0000000000000000e+00,3.4299332871127236e-01,4.0752472720789745e-02
3.9366277089667673e-01,1.9984527555028578e-01,0.0000000000000000e+00,2.4163716460063633e-01,6.7569104124382084e-01
3.5820293996976221e-01,5.2542956357115915e-02,0.0000000000000000e+00,1.6074735070090501e-01,6.0325147588344308e-01
1.6634539570355536e-01,1.9125786871741740e-02,0.0000000000000000e+00,8.6218691889633034e-02,3.0331719351884501e-01
4.1590885787957327e-01,2.1929621497268176e-01,0.0000000000000000e+00,3.4017912020224916e-02,8.8167513887922766e-02
3.9740788061608417e-01,1.0919922653042578e-01,0.0000000000000000e+00,2.0501026962680971e-01,1.8150377763896852e-01
3.3798256370303911e-02,1.9633630262806120e-01,0.0000000000000000e+00,9.2510977706304481e-02,2.3676553799755662e-01
3.6005804486696169e-01,2.7373019747815430e-01,0.0000000000000000e+00,4.0700648917000409e-01,4.2932310997943723e-01
2.9356563064442209e-01,1.8982217286421624e-01,0.0000000000000000e+00,5.1047622392695391e-02,8.3025971350081873e-01
2.9509438928669229e-01,3.5440224786399316e-01,0.0000000000000000e+00,4.1771681197840166e-01,8.9199637447200186e-01
1.2912883998361779e-01,2.5497382817135583e-01,0.0000000000000000e+00,2.9706352814814135e-01,9.1144857369366794e-01
4.6337206864812769e-01,1.1546774186176870e-01,0.0000000000000000e+00,3.5293775576272834e-01,9.3170068791763794e-01
3.0517831083774932e-01,2.3299812290075753e-01,0.0000000000000000e+00,2.9520091130718390e-01,3.1647331004044088e-01
2.8608818007193637e-01,4.5466903243680618e-01,0.0000000000000000e+00,1.3302808039836828e-01,9.1316962852292738e-01
2.3067913513381849e-01,2.3969601038279525e-01,0.0000000000000000e+00,1.6162295872455948e-01,9.6036843754979562e-01
2.8702781476332528e-01,4.2873469756422139e-01,0.0000000000000000e+00,1.4023600018929241e-01,4.4287586656592759e-01
3.3548541512276965e-02,1.9912869277992559e-01,0.0000000000000000e+00,4.3043481587850607e-01,5.1968302450412374e-01
9.8340478028176886e-02,3.8480850341864337e-01,0.0000000000000000e+00,4.4539642120495110e-01,2.6575700011848502e-01
2.9933351564253685e-01,2.8276174010498972e-01,0.0000000000000000e+00,1.5075696329212582e-01,9.2566889534475316e-01
3.0122396023349768e-01,4.0284506779939377e-01,0.0000000000000000e+00,2.6998138152669759e-01,3.7142712848624271e-01
1.1628306450963224e-01,3.5568469706525940e-01,0.0000000000000000e+00,2.5425257409888136e-01,6.3418739078356756e-01
8.0221590146111008e-02,6.7039277280613457e-02,0.0000000000000000e+00,3.2915713940276348e-01,6.0948511593113874e-01
2.6179791527299989e-01,9.5168321238686113e-02,0.0000000000000000e+00,2.7053280109657540e-01,7.5170680274055490e-02
4.6630565834132182e-01,4.7935221785830306e-01,0.0000000000000000e+00,1.2421706754059146e-01,3.2049941961430051e-01
1.8206409653594344e-01,1.9833736858244291e-01,0.0000000000000000e+00,8.2642433928627190e-02,3.2906269432560720e-01
2.0109034699189940e-01,3.6368851153281556e-01,0.0000000000000000e+00,3.3558314132084044e-01,1.0082876730841406e-02
9.1668618192020213e-02,4.5698072896019076e-01,0.0000000000000000e+00,2.0390574264508321e-01,8.5799183517754729e-01
1.0705177352273056e-01,2.4491734261523360e-01,0.0000000000000000e+00,2.0778254544117408e-01,3.1866138054692583e-01
8.3604081331636222e-03,1.1923340336315837e-01,0.0000000000000000e+00,4.0867100244815269e-01,2.9506438775841226e-01
1.2712164752534047e-01,2.5475893592741428e-01,0.0000000000000000e+00,4.6803623441606002e-01,5.3983613318034496e-01
1.2552329098465220e-01,1.1622824928310963e-02,0.0000000000000000e+00,4.1111357695779954e-01,2.4577175113851180e-01
3.8010654708856562e-01,2.9475784150608236e-01,0.0000000000000000e+00,1.3255471025548329e-01,5.7002053073313186e-01
4.2779201228267461e-01,6.4191955878847975e-02,0.0000000000000000e+00,3.9933301879143734e-01,5.4834220073985174e-01
3.8300137180364296e-01,3.0602119639112002e-01,0.0000000000000000e+00,4.2377444045680662e-01,7.4574687519440541e-01
4.6390416828551423e-01,2.4346924722843316e-01,0.0000000000000000e+00,4.6810758805296365e-01,4.8153572640330156e-02
1.5230237820650586e-01,5.3863627800892801e-02,0.0000000000000000e+00,4.2206152176986184e-01,8.2079040398672243e-01
1.3105121996481436e-01,4.3370898651993603e-02,0.0000000000000000e+00,2.9465859593287475e-01,9.3353071018752787e-01
1.4023466563062839e-01,6.5795787891415852e-02,0.0000000000000000e+00,1.8574175771662677e-01,2.2824301739151864e-01
4.6320022409127914e-01,7.3369370238898571e-02,0.0000000000000000e+00,3.4869702990187629e-01,3.2549070733308749e-01
7.6663775477147839e-02,1.6376361910197687e-01,0.0000000000000000e+00,3.2307088697344677e-01,1.4131449802946539e-01
3.5196418953411585e-01,1.9683369855460323e-01,0.0000000000000000e+00,2.3474940136865530e-01,4.5201553573329312e-01
4.9326581163503663e-03,7.8681719764870962e-03,0.0000000000000000e+00,2.4875855257783080e-01,6.8676474554904643e-01
3.6648120531995043e-01,9.0647663435446321e-02,0.0000000000000000e+00,2.1338829648987681e-01,6.0885073743921803e-01
1.5158636819241830e-01,3.5315555315438191e-01,0.0000000000000000e+00,1.3564187178924589e-01,6.0915256777744609e-01
1.7848304153366978e-01,3.4608822556929181e-01,0.0000000000000000e+00,3.7411326639233564e-02,3.0479999285579762e-01
3.7931985756641168e-01,4.1167947388561255e-01,0.0000000000000000e+00,1.4785479193783022e-01,6.6258620588064354e-01
4.0174801037734270e-01,1.3278930666922376e-01,0.0000000000000000e+00,6.3784527732534003e-03,6.9201950945287027e-02
1.9499940124345416e-01,4.7281975623882039e-01,0.0000000000000000e+00,8.0833147011240124e-03,3.9141257671220209e-01
1.0645277380793659e-01,4.5863232310830404e-01,0.0000000000000000e+00,1.3833900109182529e-02,6.7163788301696026e-01
4.0374859983442402e-01,1.7096341241301238e-01,0.0000000000000000e+00,1.1077683319694936e-01,9.8199255513760297e-02
4.2797232074339375e-01,2.9022078054044803e-01,0.0000000000000000e+00,3.0857513729239089e-01,8.2303540923549701e-01
2.5130919098232241e-01,1.3717134331881152e-02,0.0000000000000000e+00,7.7438298561214661e-02,1.9798103655584387e-01
1.6546892109704345e-01,1.9559516936591553e-02,0.0000000000000000e+00,2.7116257024062740e-01,1.8334267914412639e-01
3.2314842436423102e-01,3.7488587313402078e-01,0.0000000000000000e+00,7.6601714333419278e-03,6.3733739906006925e-01
2.3491783129033647e-02,2.0314144273834621e-02,0.0000000000000000e+00,2.7875655814559330e-01,5.3196590935250776e-01
3.4973497227268702e-01,7.7665255901745583e-02,0.0000000000000000e+00,1.0433202419156112e-02,7.0004669364077254e-01
1.7385729149831070e-01,3.0429800647062316e-01,0.0000000000000000e+00,2.1634331244102209e-01,7.6770832501030317e-01
2.5962161214085677e-01,1.4835442827496298e-01,0.0000000000000000e+00,3.4432049147509447e-01,8.1249426442153294e-01
3.4208587878978028e-02,1.7194933478225527e-01,0.0000000000000000e+00,4.4703424062700003e-01,3.4961419115552372e-01
4.3513387285888894e-01,3.2947581218504851e-01,0.0000000000000000e+00,9.1554590379198345e-02,9.3671750868430825e-01
9.5014086714756890e-02,1.1055491461511689e-01,0.0000000000000000e+00,1.4711081752662286e-01,6.2805333575743250e-01
8.5728919620712843e-02,2.4787955159904915e-01,0.0000000000000000e+00,4.2783059438500270e-01,3.3830650139742069e-01
4.5053713655431357e-02,3.9046021472377773e-01,0.0000000000000000e+00,1.6685596114032100e-01,1.2662368330380636e-01
1.6699129232849547e-01,2.2174631469592090e-01,0.0000000000000000e+00,2.5216076470425575e-01,5.9729740034856205e-02
3.1061611107188265e-02,2.8557832621887180e-01,0.0000000000000000e+00,1.9804701482772225e-01,4.9184883919519029e-01
2.0439812403807903e-01,1.8027772318391524e-01,0.0000000000000000e+00,2.3294528122601282e-01,9.2240478278399118e-01
1.0265946071080470e-01,4.7118187307056147e-01,0.0000000000000000e+00,2.4993546381694650e-02,7.1027808586095342e-01
2.1925661958703077e-01,1.4805660937807841e-01,0.0000000000000000e+00,2.3816371383851626e-01,7.4989260396798896e-01
4.5094942626410944e-01,1.9992084161119453e-01,0.0000000000000000e+00,1.5896599990680146e-01,7.5725434279490367e-01
3.4230189642488673e-01,1.4225128935821638e-01,0.0000000000000000e+00,1.8280679988268325e-01,6.3077188393149153e-01
1.1747916974023556e-01,2.5464628789915239e-01,0.0000000000000000e+00,9.5846176079438211e-02,6.9483740707773656e-01
4.4804937707269982e-01,6.7195473486724472e-02,0.0000000000000000e+00,3.3586245829013889e-01,9.4941566366546959e-01
4.1048376634518502e-01,2.2895594044933812e-01,0.0000000000000000e+00,9.0983391607149758e-02,6.6595634383911917e-01
4.7448939437054216e-01,3.5492973772533987e-01,0.0000000000000000e+00,1.8747058148545026e-01,7.3062318644210489e-01
3.7409440132919325e-01,3.3442399770025673e-02,0.0000000000000000e+00,1.7160567599590260e-01,3.3788415843736175e-01
2.3396026514717304e-02,3.0586378467192740e-02,0.0000000000000000e+00,1.4751205745776735e-01,1.4766696092512976e-01
2.3343730100950200e-02,6.5181710824777986e-02,0.0000000000000000e+00,2.5640192209124557e-01,4.8373265179809377e-01
2.5334841599322566e-01,8.7015557250973943e-02,0.0000000000000000e+00,3.2810864161110281e-01,5.9649994597431877e-01
3.5047556177983735e-01,2.9264478082601625e-01,0.0000000000000000e+00,4.7425026601577458e-01,7.7326852414606351e-01
5.7124905078373964e-02,1.1710023201100228e-01,0.0000000000000000e+00,3.9456446521433025e-01,9.5478281406281407e-01
1.3200121869494508e-01,6.7824236797786014e-02,0.0000000000000000e+00,3.2829627241813680e-01,2.4438279037089661e-01
3.8174759857567608e-01,1.7972375325506670e-01,0.0000000000000000e+00,1.1593964643608148e-01,6.2701835793733007e-02
3.3245467451966376e-01,3.8058229813880712e-02,0.0000000000000000e+00,2.0576648904114883e-01,1.9861745363135652e-01
1.1867541429963499e-01,3.0261595111543610e-02,0.0000000000000000e+00,3.1191610086306393e-01,1.2112520504094126e-01
8.3711718235172355e-03,4.0476395363673562e-01,0.0000000000000000e+00,2.9184606957592601e-01,2.2485503416141350e-01
2.2206523503248224e-01,3.9085971851979490e-01,0.0000000000000000e+00,1.6996993977527583e-01,8.5571462221660344e-01
1.5663491729557030e-01,3.4373987375278353e-01,0.0000000000000000e+00,2.9864025407678491e-01,7.0425588390235583e-01
1.0042548602928161e-01,4.8245834104920304e-01,0.0000000000000000e+00,4.5422413105746590e-01,7.5888394581082963e-01
8.8416645571723171e-02,6.0665528720866189e-02,0.0000000000000000e+00,4.4098396256382000e-01,5.1770837491819011e-01
1.8430487291506351e-01,3.4686080500251476e-01,0.0000000000000000e+00,4.4511303692902338e-01,8.9524969827516898e-01
3.0667730448694197e-01,3.0011343736159113e-01,0.0000000000000000e+00,6.2413396748926452e-02,2.6395755910037266e-01
1.3327274344732004e-01,7.2254462741562317e-02,0.0000000000000000e+00,6.5979500850839026e-03,7.5856281800874803e-01
