"A","B","C","D","E","F","G","H","I","J","K","L"
7.3623600319372162e-01,5.8055470132634471e-02,0.0000000000000000e+00,2.0468556234619295e-01,1.1136639247730164e-01,5.6100950357381094e-02,1.2453635239297625e-01,0.0000000000000000e+00,4.8840995675910115e-01,3.3888439591141234e-01,4.2353037995490284e-01,2.1511394135793838e-02
7.7579082019968149e-01,3.8566869369677226e-01,0.0000000000000000e+00,3.9587464484853901e-01,2.6411885338858526e-01,1.2220935538657847e-01,2.8126900886636080e-01,0.0000000000000000e+00,1.9741188576780644e-01,1.0637188938789205e-02,3.3393761874538996e-01,7.1717273354898059e-01
9.2845864052459870e-02,8.3116908644827819e-02,0.0000000000000000e+00,2.4745615747576369e-01,2.4372448125446887e-02,2.2729379709714387e-01,2.6430653690960831e-01,0.0000000000000000e+00,3.5319553579484664e-01,2.9593660916369091e-01,7.1143967149343013e-01,4.7453871108900536e-02
8.9807327939866854e-01,2.8665519242888426e-01,0.0000000000000000e+00,9.5546641465107190e-02,2.7633744277891009e-01,2.1712963651323020e-01,3.5174186929295506e-03,0.0000000000000000e+00,9.4566993837487034e-01,1.9659144641380391e-01,5.0375759194324465e-01,3.5670427977895569e-01
9.5644726828743853e-01,3.7776954622995557e-01,0.0000000000000000e+00,3.9837130101525015e-01,6.0102026205665973e-02,7.6210347963165129e-02,2.7622849656272663e-01,0.0000000000000000e+00,7.9003880466310794e-01,3.2972183037076613e-01,1.3399999307454413e-01,6.2624830816712063e-01
3.8825330924955459e-01,1.5413699522407165e-01,0.0000000000000000e+00,2.4126409843555968e-01,3.5415387287052419e-01,1.1534855801514135e-01,8.7482156383400400e-02,0.0000000000000000e+00,9.1833842923073794e-01,9.7356825769160146e-02,5.5123458905292932e-01,6.9588264911263042e-01
1.4667583612706991e-01,4.5158141385872175e-01,0.0000000000000000e+00,2.0756799381470004e-01,1.4023430882042227e-02,3.4200435699789872e-01,1.4322887474997428e-01,0.0000000000000000e+00,3.7613097228000747e-01,4.1708318992091992e-01,4.8177122898724645e-01,6.5421303992279189e-01
8.8806823656885236e-01,4.4423668847715786e-03,0.0000000000000000e+00,1.0863632654035570e-01,2.7551106156028078e-02,4.6244246400593443e-02,3.4109974799295628e-01,0.0000000000000000e+00,2.2217162901435783e-01,4.2000481574068255e-01,8.9310879339083726e-01,6.7644197809715201e-01
6.5121434280682511e-01,2.2501368825623197e-01,0.0000000000000000e+00,2.5962432309737860e-01,1.7666889210030493e-01,1.3078936015788833e-01,3.8526711527806462e-01,0.0000000000000000e+00,4.1102824824385964e-01,2.7307553545679375e-01,3.9794792600544104e-01,7.1437930872981892e-01
1.5286342215934834e-01,6.7190908392129975e-02,0.0000000000000000e+00,7.9704771772057717e-02,1.1863878305939875e-01,7.2787406690750525e-02,6.9589068999845072e-02,0.0000000000000000e+00,1.4629720425705783e-01,3.7305594928821578e-01,8.4939878287031423e-02,3.9806337028134231e-01
6.8071967986051307e-01,3.3436264105728619e-01,0.0000000000000000e+00,4.7836895649488620e-01,1.7515441908295840e-01,3.4028036071194467e-01,1.5571619551238997e-01,0.0000000000000000e+00,9.6682581256125211e-01,2.7847242873103201e-01,5.5186965144748079e-01,8.8100240224961723e-01
6.9422297774758768e-01,4.3585710625365504e-01,0.0000000000000000e+00,1.7439154378204905e-01,1.0973913686404885e-01,3.5926410112150436e-01,2.3021195065927169e-01,0.0000000000000000e+00,2.7127015510985708e-01,2.7960063232318477e-01,6.8326681101560660e-01,1.9449792564589474e-01
5.0750232578009502e-01,4.6676102941621994e-01,0.0000000000000000e+00,3.4290871380698432e-02,3.5151647980013891e-02,2.1344911496709185e-01,1.5602796594763801e-01,0.0000000000000000e+00,2.5392071089798596e-01,3.8024223995221573e-01,7.4458562729402655e-01,8.8666011461561034e-01
3.1299377125270555e-01,3.0648396765219693e-01,0.0000000000000000e+00,1.9492766518921067e-01,2.1167920848510974e-01,5.1434835711893032e-03,2.9446549568043001e-01,0.0000000000000000e+00,1.9893546455209932e-01,3.5686198740709635e-01,3.8585290911209436e-02,5.1867791893132509e-01
9.5971650629497418e-01,1.9690045617274160e-01,0.0000000000000000e+00,9.6160776237971188e-02,3.7593650776882453e-01,1.8614338204653832e-01,2.7393154595441599e-01,0.0000000000000000e+00,2.5469890887884405e-01,4.7377294657105490e-01,7.0831285286265722e-01,7.9063058198717751e-01
6.1705081273804607e-01,2.1512495397995368e-01,0.0000000000000000e+00,2.5855083350560260e-01,3.0268425656407420e-02,1.5326519702724875e-01,2.8786596826929195e-01,0.0000000000000000e+00,5.5832388469231975e-01,2.1188876898580608e-02,6.5216608517001395e-02,6.1822276392299980e-02
9.7380014852058028e-01,3.0278232615632694e-01,0.0000000000000000e+00,2.4127386248701674e-01,2.1435314429239960e-01,1.9427164076512365e-01,1.3290599074301113e-01,0.0000000000000000e+00,8.3264137853889197e-01,8.8155230643638269e-02,2.5852503384763259e-01,5.2500954388450261e-02
2.2090227278768704e-01,1.2548304954881567e-01,0.0000000000000000e+00,3.6123919726211762e-01,2.9032397332535481e-01,2.9237752487661084e-01,4.1630560314450160e-01,0.0000000000000000e+00,9.3595125762900655e-01,2.1595739900050068e-01,2.9492341554681101e-01,4.5010000350906321e-01
4.7958013203906580e-02,3.3977935873128923e-01,0.0000000000000000e+00,1.3742105872125218e-01,1.9387566617068679e-02,3.4636989172083833e-02,1.8439360562472826e-01,0.0000000000000000e+00,6.4679247507827209e-01,3.9901563493542916e-02,7.6340440620455197e-01,6.9950528517614607e-01
2.3603769211565906e-01,4.5939650289345213e-02,0.0000000000000000e+00,3.4656787303108622e-01,4.3074715253637702e-01,4.1112270166555265e-01,1.0493811002966952e-01,0.0000000000000000e+00,3.4653999275212222e-01,1.6329267525809676e-01,9.2175079711060093e-02,6.9240373967392865e-01
5.6396552329851746e-01,2.0408206081386160e-01,0.0000000000000000e+00,2.5806976374200163e-01,8.9718328656822860e-02,2.1777303620401223e-01,3.1066373229056209e-02,0.0000000000000000e+00,3.2660124051134365e-01,7.3766435516208248e-02,6.4341102154328844e-01,1.7983924974027476e-01
8.2549753406440995e-02,4.4199283158841524e-01,0.0000000000000000e+00,3.5957959329466965e-01,1.8040928820044574e-01,2.5375371859144358e-01,1.2926005506361554e-01,0.0000000000000000e+00,1.7031500245989650e-01,3.3447389270010230e-01,2.6387888945952520e-01,7.3137071532813902e-01
3.6894502509393967e-01,3.4450377933708859e-01,0.0000000000000000e+00,4.2073973499509565e-01,4.5376665687451845e-01,8.4113072255302679e-02,1.7756648813537751e-01,0.0000000000000000e+00,1.5864408564509791e-01,2.0784009185756563e-01,9.3554570123352265e-01,4.6038284293307052e-01
6.6007248539664776e-02,2.1264238637491517e-01,0.0000000000000000e+00,3.5387215979248199e-01,3.4807280328084766e-01,1.5269452199482578e-01,3.2306613055215772e-01,0.0000000000000000e+00,8.0448020228412864e-01,3.6845924946926367e-01,3.7150799508779264e-01,9.4061778662729800e-02
6.8668847468966931e-01,2.1804543522814215e-02,0.0000000000000000e+00,1.0825910654734010e-01,1.0629368120228478e-02,3.1756483087611986e-01,5.7884292318713684e-02,0.0000000000000000e+00,9.1257091492941678e-01,2.4962285364529815e-01,9.7491252052149502e-01,9.5439377674220038e-01
3.7507391696174497e-01,1.7479633132680270e-01,0.0000000000000000e+00,1.0408845369302093e-01,1.6910053260861636e-02,1.1490302848785668e-01,3.2251631850727897e-01,0.0000000000000000e+00,5.0671195736449315e-01,1.8403325663552858e-01,5.1678199657687962e-01,6.0543258257402610e-01
3.2216051445299931e-01,3.4893450715822999e-01,0.0000000000000000e+00,2.9467045209140563e-01,2.4601275953385121e-01,3.6603707795276785e-01,2.9603917188303241e-01,0.0000000000000000e+00,4.5980296598056780e-01,1.5300368512641330e-02,9.4063814231849729e-01,2.1342920314814995e-02
9.3580773118618232e-01,3.4054859352546774e-01,0.0000000000000000e+00,1.1626453505326076e-01,3.4033882135845966e-01,3.8616144354340576e-01,2.5754453692203716e-01,0.0000000000000000e+00,6.3656085881342284e-01,2.7062376987454961e-01,8.4864431628374670e-01,2.6871572388137666e-01
8.8583309719022485e-01,4.6713485137723526e-01,0.0000000000000000e+00,3.4591249261561291e-01,2.9176374481730627e-01,5.9382884469127435e-02,4.7032030679184195e-01,0.0000000000000000e+00,1.9105485095736308e-01,3.1774984861610844e-01,3.1563066438947063e-01,8.3644168369812810e-01
4.4418336568855388e-01,3.7570174765853470e-01,0.0000000000000000e+00,3.4719336274889401e-01,4.0768031225948753e-01,3.4069431141396955e-01,2.4955487920647162e-01,0.0000000000000000e+00,9.0233796584281545e-01,4.2655285894229950e-01,7.9631928457496892e-01,1.9442225549821757e-01
4.6778518387933743e-01,1.2296189068600653e-01,0.0000000000000000e+00,4.7724637560058958e-01,9.9838728539995883e-02,8.3103425714620593e-02,1.1805517619362170e-01,0.0000000000000000e+00,3.7359389231575313e-01,3.3490771541490194e-01,6.0802771706093184e-01,5.3422615563480047e-01
6.1288595133146995e-02,4.0596243044406916e-01,0.0000000000000000e+00,2.9427445215626424e-01,1.3053483919537953e-01,5.2929428059834048e-02,4.0323207556257973e-01,0.0000000000000000e+00,8.1021948325004978e-02,4.9680437688234470e-02,2.6654086536765109e-01,5.1716698532706107e-01
3.3608325738466505e-02,4.8380032523958186e-02,0.0000000000000000e+00,2.1675122849171799e-01,7.2862872549009375e-02,1.9851157377980669e-02,3.5038790936780512e-01,0.0000000000000000e+00,8.3901658940008228e-01,4.6850100754513330e-01,4.1168653600401606e-01,9.8043198285859212e-01
2.0021867215671985e-01,3.1590382353579882e-01,0.0000000000000000e+00,4.6171435270573635e-01,4.1605657616471725e-01,3.3221490744980742e-01,3.3519804233560396e-01,0.0000000000000000e+00,9.1996364944293862e-02,3.7104952911188982e-01,5.5799835087355798e-01,3.4717308682211390e-01
7.4002775041214486e-01,2.6890260482215111e-01,0.0000000000000000e+00,4.4806529128050010e-01,4.4754451820419805e-01,1.8661186689858125e-01,1.7079853091990338e-01,0.0000000000000000e+00,5.8986261710505028e-01,8.8265597927463371e-02,3.5067986170827514e-01,5.0566457491906625e-01
7.0520326189586302e-01,2.9412991587799989e-02,0.0000000000000000e+00,2.8204374195355730e-01,8.2254854482789463e-02,3.8548222151865108e-01,1.1779403684525756e-01,0.0000000000000000e+00,8.5166490334756717e-01,1.6115398969689465e-01,1.6934569798466015e-01,9.3935774026107000e-01
3.2585895412008470e-01,4.5688295446079968e-01,0.0000000000000000e+00,4.0496459703905335e-01,1.0559542538973245e-01,3.1014159843873579e-01,7.4867916336405257e-02,0.0000000000000000e+00,7.2559820389844965e-01,3.1130277306531878e-01,7.5214292068369315e-01,1.1793632034146739e-01
6.5828603422125420e-01,3.4197604995336844e-01,0.0000000000000000e+00,3.5073598307678844e-01,4.3473992020054814e-01,1.8432372509752359e-01,2.6094252033888737e-01,0.0000000000000000e+00,1.8240860894118938e-01,3.7752741070083429e-01,4.0168629026303937e-01,9.7451790640520675e-01
2.0752240933601840e-02,1.1005464365740322e-01,0.0000000000000000e+00,4.1317376010928458e-01,2.8026760514049348e-01,1.5488006504182822e-01,1.7437259866962981e-01,0.0000000000000000e+00,2.4584980383650001e-01,6.0674489192472737e-02,9.6415073151509811e-01,4.0023428000786065e-03
9.9736783273730945e-01,1.7156371798768125e-01,0.0000000000000000e+00,1.4983798497925471e-01,3.6925568577535950e-01,2.8562085849407881e-01,3.6253579387321538e-01,0.0000000000000000e+00,9.7547582544512546e-01,3.1932798891453895e-01,8.3262842910161616e-01,8.8468958333106706e-01
8.9796720810893049e-01,3.3804074632480324e-01,0.0000000000000000e+00,2.1820336548513908e-01,3.6908766942318810e-01,4.8574102969223337e-01,4.6090808701576724e-01,0.0000000000000000e+00,4.7628293382118492e-01,2.7259649028168736e-01,7.2947217068335002e-01,4.3039001846149993e-01
7.9834632304726005e-01,7.1289745701217780e-02,0.0000000000000000e+00,3.0371490121752648e-01,3.1523538093224740e-01,2.4359852245800728e-01,4.1274470081209563e-01,0.0000000000000000e+00,6.7383571649583329e-01,1.7480271447411180e-01,9.9369507474830110e-01,1.3669550221556426e-01
4.7403505566650073e-01,1.2627954380369891e-01,0.0000000000000000e+00,1.4547178648707806e-03,3.4732119758998120e-01,5.2080141231589709e-02,7.3045276721840947e-03,0.0000000000000000e+00,9.0260055314860432e-01,1.9659277874270120e-01,4.3094950052922565e-01,7.0081675463251347e-01
2.5808177061684567e-01,7.7440651864098903e-02,0.0000000000000000e+00,1.4922759669280553e-01,9.5101456361467537e-02,3.7370383469874563e-02,9.5989043435613458e-02,0.0000000000000000e+00,9.1581325658033541e-01,3.0089385365513466e-01,5.2873301893893632e-01,1.8080758927500895e-01
7.0522518658996458e-01,6.1089985044136090e-02,0.0000000000000000e+00,3.6706434850655451e-01,9.9256748453135077e-02,1.3750943862623391e-01,4.1279528676081800e-01,0.0000000000000000e+00,5.3339084790306135e-02,2.5469776226339230e-01,4.0420401286213714e-02,8.5548508226708120e-01
5.6353603881063918e-01,4.0537092890695897e-01,0.0000000000000000e+00,1.3434908501697710e-02,2.3804351229251322e-01,3.9204917841231240e-01,2.7618067221463932e-01,0.0000000000000000e+00,1.6512757001063338e-01,1.6756302265220577e-01,2.5112428326659209e-01,7.0466849604693227e-01
8.8051862780149182e-01,4.7195623047434887e-01,0.0000000000000000e+00,2.2659310390320675e-01,3.9539395672086608e-01,1.1304651423746651e-01,2.3460638955371710e-01,0.0000000000000000e+00,1.0933493290151475e-01,2.5441994075871577e-01,8.0456769915405491e-01,7.1425630633205039e-01
4.9524903061233805e-01,2.2883949505258766e-01,0.0000000000000000e+00,2.9138885353960431e-01,2.6462435712817567e-01,4.1866569023110406e-01,1.5774420119230112e-01,0.0000000000000000e+00,1.5701572709034362e-01,3.6756802686545975e-01,9.8602802450999527e-01,7.9888659953901842e-01
7.8788614953120706e-01,2.1687631240248259e-01,0.0000000000000000e+00,1.0873576674706936e-01,4.6889699675232160e-01,1.4804679733903849e-02,4.4526869649952056e-01,0.0000000000000000e+00,6.0046534229024240e-01,3.7939794899627094e-02,1.5426740186038423e-01,5.1884303833967094e-01
2.6850132299163665e-01,1.9937580710985642e-01,0.0000000000000000e+00,1.0301546277200454e-02,3.2726296938489446e-01,2.6292870231465010e-01,4.2073838464108823e-02,0.0000000000000000e+00,3.1983769115753669e-01,2.5067847435569962e-01,7.8637985241077391e-01,5.5446732012885480e-01
9.4047051405111270e-02,2.7513116309763352e-01,0.0000000000000000e+00,2.1957320128577124e-01,5.3760037565890040e-02,4.3301046612361765e-01,3.7833652256166000e-01,0.0000000000000000e+00,8.8130707716971735e-02,2.5675810419532830e-01,6.8454358443717522e-01,4.7454925765934508e-01
9.0385325045937659e-01,1.1517314956156890e-02,0.0000000000000000e+00,1.0507052696377386e-01,3.2317535512154535e-02,4.3448281626099483e-01,2.1001144216093601e-01,0.0000000000000000e+00,6.4560726800927193e-01,1.6664646671186434e-01,1.5612983744769271e-01,2.3430867861526106e-01
3.8971082324264628e-01,2.9963475581489757e-01,0.0000000000000000e+00,2.3760815898240936e-01,2.8181434555472212e-01,2.6174676658075097e-01,2.3989214984711912e-01,0.0000000000000000e+00,1.2482795242171396e-01,1.8347141908924508e-01,9.5887786799212105e-01,1.9817995545823974e-01
7.7704436712571656e-02,4.0053180178524786e-02,0.0000000000000000e+00,3.7945295223950443e-01,3.9311480067389976e-01,3.2200813047439003e-01,3.9085980685316674e-01,0.0000000000000000e+00,6.2360171988923008e-01,4.1548397550833921e-03,8.8834731426877367e-02,9.5481493375107007e-01
3.3923032869728975e-01,1.8410903750629870e-01,0.0000000000000000e+00,3.4962137377670877e-01,2.2975676251757160e-01,1.2883612345830209e-01,2.9289301147214453e-01,0.0000000000000000e+00,4.4983362949324013e-01,4.7500229444898973e-01,4.0214641037549059e-01,2.9822015817165481e-01
1.5571823036524712e-01,2.6822421447792222e-01,0.0000000000000000e+00,1.7014601477228614e-01,8.1961556758538431e-02,3.3261325314391532e-01,3.2290916805029446e-01,0.0000000000000000e+00,8.9298794503571077e-01,4.3213719054909128e-01,5.9043141371696373e-01,8.4382562333342359e-01
2.1837610690312714e-01,3.2435944056769322e-01,0.0000000000000000e+00,2.2874838970919076e-01,1.2777195325124605e-01,3.3809698043425834e-01,8.8504803943390650e-02,0.0000000000000000e+00,5.8336911156244642e-01,4.0785287736416465e-01,4.9770567190257475e-01,8.2036227353334401e-01
5.8133050478274728e-01,2.9698272693947647e-01,0.0000000000000000e+00,4.3588587686576752e-01,1.1905120794641580e-01,8.8909510330006131e-02,6.8136408818964017e-02,0.0000000000000000e+00,1.8496403405780093e-01,8.4694151586107935e-02,5.8340731833450010e-01,4.7767982686892685e-01
5.4643234061201751e-02,4.5432992772347380e-01,0.0000000000000000e+00,1.5383227003581632e-01,2.8767287168368860e-01,1.9535255397577123e-01,4.1128515215694506e-01,0.0000000000000000e+00,3.2323293188961877e-01,5.8560886116050821e-02,9.2250656898265149e-01,5.6910859752343934e-01
3.8740463956143434e-01,4.1451763527668894e-01,0.0000000000000000e+00,1.8499520126736568e-01,3.1094932612367843e-01,3.2187845232367474e-01,9.2669766283934751e-02,0.0000000000000000e+00,3.6385969717668898e-01,1.2183331425825798e-01,6.2624723008924010e-01,4.5782842826838244e-01
3.6113264808369183e-01,2.7214087034648810e-01,0.0000000000000000e+00,4.3981212180592072e-01,4.3660944178285727e-01,5.8033145533725350e-02,1.9415816392043106e-01,0.0000000000000000e+00,6.0085560739371990e-01,2.0922721238270922e-01,7.8006060916115083e-01,9.6468291435502618e-02
8.2933604866201094e-01,1.1205573747224440e-01,0.0000000000000000e+00,3.2944301631550288e-01,4.4192477902922023e-01,1.5035690395038548e-02,3.5418425842686302e-01,0.0000000000000000e+00,2.7228269476785516e-01,3.2831251906993192e-01,1.8972318238453112e-01,1.6145499486050885e-01
4.7015169460840034e-01,3.8246847711096754e-01,0.0000000000000000e+00,4.6380724566574083e-01,4.3037725901983831e-01,3.8714378453222736e-01,1.0074521148668993e-01,0.0000000000000000e+00,7.8377366027299056e-02,1.1364774202967608e-01,8.9890703953482043e-01,8.1497811854976288e-02
2.4613725503707640e-01,3.6677197330269351e-01,0.0000000000000000e+00,1.5454990052988660e-01,4.4610671753159004e-01,2.7395749465878839e-03,4.7126216885589584e-01,0.0000000000000000e+00,8.0416660669185180e-02,3.4989509503533062e-01,5.2645023924433176e-01,6.2336613421797993e-01
6.9347249161328040e-01,4.2285640703456071e-02,0.0000000000000000e+00,2.7513270491910691e-01,3.7207537102878013e-01,2.4433584227819497e-03,1.7228534647246874e-01,0.0000000000000000e+00,7.5394097305323715e-01,1.4278387731492816e-02,9.4337621440774511e-02,9.6349274097852677e-01
4.3948984570316552e-01,3.5501263108828168e-01,0.0000000000000000e+00,1.2018241022746884e-01,4.4716913806618674e-01,1.3301286405507218e-01,2.5118571842677490e-01,0.0000000000000000e+00,5.9105962589151395e-01,3.3836501614164138e-01,4.1287047945623789e-01,7.6357859531320726e-01
4.9408054299283610e-01,2.1126960459675151e-01,0.0000000000000000e+00,1.8168101195921862e-01,6.1313289147526956e-03,3.9589389178961243e-01,7.7110334909884781e-02,0.0000000000000000e+00,9.6944291069645216e-01,3.6634600842357473e-01,3.2612247098185976e-01,4.8172539823655303e-01
2.7155391998530276e-01,2.6478988237712503e-01,0.0000000000000000e+00,4.2008811101803994e-01,2.3980466223322028e-01,2.6985215808553586e-01,2.5114461003643257e-01,0.0000000000000000e+00,5.8973725931760979e-01,2.6225560508395407e-01,5.7770893920326016e-01,1.9346246734373018e-01
3.6924190220310171e-01,1.9941016210570542e-01,0.0000000000000000e+00,9.0705468912847323e-02,1.7613101752027591e-01,3.7111699842245849e-01,3.4415266789752591e-01,0.0000000000000000e+00,7.3797117542326607e-01,3.5570105452597495e-01,4.7150799715705349e-01,7.6807808373087449e-01
4.0306666921399148e-01,3.3867799405960186e-01,0.0000000000000000e+00,3.1768779546453807e-01,4.3411913247095152e-01,3.9442757271714080e-01,1.0778802193447439e-02,0.0000000000000000e+00,3.2433530663532273e-01,1.5874357970266477e-02,2.0348376091351050e-01,2.4615620136178107e-01
7.8149969870733504e-01,1.6590353353027362e-01,0.0000000000000000e+00,1.5782316994972651e-01,2.9016885106549195e-01,1.8309149833162866e-01,1.9654384781990855e-01,0.0000000000000000e+00,2.2016377059892389e-01,3.7357446661220201e-01,8.5614049576838269e-02,6.8527334048785082e-02
3.6761564822908133e-01,1.5517669383719104e-01,0.0000000000000000e+00,7.6665156893939088e-02,7.4136536620879864e-02,3.8526789000369194e-01,1.9070724426865979e-01,0.0000000000000000e+00,5.7829277787020872e-01,3.9793598989220658e-01,8.8973154927229103e-01,5.0475229231383101e-01
6.3261720796144716e-01,2.0853832166186415e-01,0.0000000000000000e+00,1.0879825807068397e-01,3.3718288525206125e-01,2.2928708538615336e-01,1.0757519604550626e-01,0.0000000000000000e+00,4.3496033543793433e-01,1.3042647857666700e-01,9.6354998831037486e-02,9.2751737727351258e-01
4.0253722653675483e-01,7.4875645566831586e-02,0.0000000000000000e+00,1.3790615562878000e-01,3.9164189821711431e-01,2.2971453783706305e-01,1.2478990594653110e-01,0.0000000000000000e+00,6.4581067035870499e-01,6.9969123292744781e-02,1.3926136358410890e-03,4.4266703360449977e-01
9.0158119192711772e-01,1.5808438834344132e-01,0.0000000000000000e+00,2.8515449145192112e-01,2.0425985591467747e-02,2.0406032741393584e-01,3.6723806640793714e-02,0.0000000000000000e+00,9.4855147962790132e-01,1.5016704500539124e-01,4.2929867345240602e-01,9.0554962953943341e-01
5.5598594581092664e-01,2.5630370261416513e-01,0.0000000000000000e+00,6.5592258393074129e-02,3.9736309808906037e-02,3.0266618174993132e-01,3.7225701817488421e-01,0.0000000000000000e+00,2.0384590504848443e-01,2.4510038419329971e-01,8.2699384491415961e-01,4.5388562555062428e-01
7.8349544515754310e-01,3.0579649381445329e-01,0.0000000000000000e+00,2.5496112051973013e-01,2.4981444310940568e-01,4.6513794559885052e-01,2.7972417007301353e-01,0.0000000000000000e+00,5.6039356246068128e-01,2.1128679414825083e-01,8.6435293390494738e-01,2.1955380260975321e-02
3.4237519874138989e-01,1.6664110077002345e-01,0.0000000000000000e+00,3.8096702658145291e-02,2.0933903105638207e-01,1.6548597296106876e-01,4.5378609022139732e-01,0.0000000000000000e+00,1.9847680664323830e-01,6.9981330674117173e-02,6.5567972407419406e-01,5.8762196480365070e-01
6.0922680052345068e-01,7.2038802367627872e-02,0.0000000000000000e+00,1.1377768108075839e-01,4.2397720953377926e-01,5.5504679155549463e-02,1.5375100162600397e-01,0.0000000000000000e+00,7.3989144732889200e-01,5.6804131308218361e-02,7.5524030067481496e-01,6.6752666010763351e-02
5.7856431613951265e-01,6.1849724351602180e-02,0.0000000000000000e+00,3.8900581453753058e-01,4.0894726987698832e-01,1.8908272307130039e-01,3.1268863907285693e-01,0.0000000000000000e+00,5.4123338866961057e-01,4.0822948244526043e-02,3.9279979522715158e-01,2.5169405152122115e-01
6.8147676021724779e-01,6.6904391469202129e-02,0.0000000000000000e+00,4.2147186549485738e-01,3.3797763283734172e-01,1.4062481954070408e-01,9.6053523986953437e-02,0.0000000000000000e+00,1.1862420051467870e-02,3.3003733880132874e-01,6.3976802243259812e-01,2.8537217224459699e-01
1.5965720482683077e-01,1.7510664554945590e-01,0.0000000000000000e+00,3.3168416397278272e-01,1.2949417695239482e-01,4.3297075057748785e-01,1.6850829750619059e-01,0.0000000000000000e+00,3.8408475707226231e-01,3.3269335326406674e-01,2.3471039383633308e-01,7.7301347367457751e-02
